,clip,target,pred_x,pred_y,pred,diff,rat,LR,start,duration
0,Grooming_930217_L00480_000024,1,1,1,1,0,930217,L,00480,25
1,Grooming_930217_L00515_000025,1,1,1,1,0,930217,L,00515,30
2,Grooming_930217_L00865_000043,1,1,0,0,1,930217,L,00865,105
3,Grooming_930217_L00980_000049,1,1,0,0,1,930217,L,00980,200
4,Grooming_930217_L04250_000332,1,1,0,0,1,930217,L,04250,75
5,Grooming_930217_L04355_000337,1,1,1,1,0,930217,L,04355,20
6,Grooming_930217_L08605_000710,1,1,1,1,0,930217,L,08605,75
7,Grooming_930217_L08705_000715,1,1,0,0,1,930217,L,08705,30
8,Grooming_930217_L12025_001001,1,1,1,1,0,930217,L,12025,20
9,Grooming_930217_L12075_001003,1,1,1,1,0,930217,L,12075,45
10,Grooming_930217_L13965_001138,1,1,1,1,0,930217,L,13965,35
11,Grooming_930217_L14030_001141,1,1,1,1,0,930217,L,14030,10
12,Grooming_930217_L15680_001304,1,1,1,1,0,930217,L,15680,175
13,Grooming_930217_L15915_001315,1,1,1,1,0,930217,L,15915,30
14,Grooming_930217_L15965_001318,1,1,0,0,1,930217,L,15965,20
15,Grooming_930217_L16135_001326,1,1,1,1,0,930217,L,16135,60
16,Grooming_930217_L16215_001330,1,1,0,0,1,930217,L,16215,20
17,Grooming_930217_L16300_001335,1,1,1,1,0,930217,L,16300,95
18,Grooming_930217_L19220_001601,1,1,1,1,0,930217,L,19220,40
19,Grooming_930217_L19275_001603,1,1,1,1,0,930217,L,19275,90
20,Grooming_930217_L20520_001706,1,1,1,1,0,930217,L,20520,20
21,Grooming_930217_L20640_001712,1,1,1,1,0,930217,L,20640,20
22,Grooming_930217_L22090_001824,1,1,0,0,1,930217,L,22090,25
23,Grooming_930217_L32330_002656,1,1,0,0,1,930217,L,32330,35
24,Grooming_930217_L33700_002805,1,1,0,0,1,930217,L,33700,245
25,Grooming_930217_L33955_002817,1,1,1,1,0,930217,L,33955,35
26,Grooming_930217_L34705_002855,1,1,0,0,1,930217,L,34705,25
27,Grooming_930217_L34750_002857,1,1,1,1,0,930217,L,34750,115
28,Grooming_930217_L34900_002905,1,1,1,1,0,930217,L,34900,630
