,clip,target,pred_x,pred_y,pred,diff,rat,LR,start,duration
0,Grooming_921111_L06175_000508,1,1,1,1,0,921111,L,06175,110
1,Grooming_921111_L06305_000515,1,1,1,1,0,921111,L,06305,180
2,Grooming_921111_L06550_000527,1,1,1,1,0,921111,L,06550,35
3,Grooming_921111_L06650_000532,1,1,1,1,0,921111,L,06650,40
4,Grooming_921111_L06715_000535,1,1,1,1,0,921111,L,06715,100
5,Grooming_921111_L06850_000542,1,1,1,1,0,921111,L,06850,50
6,Grooming_921111_L06910_000545,1,1,1,1,0,921111,L,06910,100
7,Grooming_921111_L08015_000640,1,1,1,1,0,921111,L,08015,15
8,Grooming_921111_L08645_000712,1,1,1,1,0,921111,L,08645,35
9,Grooming_921111_L09225_000741,1,1,1,1,0,921111,L,09225,15
10,Grooming_921111_L10775_000858,1,1,1,1,0,921111,L,10775,20
11,Grooming_921111_L14125_001146,1,1,1,1,0,921111,L,14125,35
12,Grooming_921111_L16115_001325,1,1,1,1,0,921111,L,16115,50
13,Grooming_921111_L16370_001338,1,1,1,1,0,921111,L,16370,90
14,Grooming_921111_L16610_001350,1,1,1,1,0,921111,L,16610,20
15,Grooming_921111_L18230_001511,1,1,1,1,0,921111,L,18230,15
16,Grooming_921111_L18370_001518,1,1,1,1,0,921111,L,18370,45
17,Grooming_921111_L20105_001645,1,1,1,1,0,921111,L,20105,25
18,Grooming_921111_L21075_001733,1,1,1,1,0,921111,L,21075,15
19,Grooming_921111_L21175_001738,1,1,1,1,0,921111,L,21175,20
20,Grooming_921111_L21910_001815,1,1,1,1,0,921111,L,21910,20
21,Grooming_921111_L21945_001817,1,1,1,1,0,921111,L,21945,30
22,Grooming_921111_L22015_001820,1,1,1,1,0,921111,L,22015,15
23,Grooming_921111_L23045_001912,1,1,0,0,1,921111,L,23045,15
24,Grooming_921111_L23245_001922,1,1,1,1,0,921111,L,23245,25
25,Grooming_921111_L23345_001927,1,1,1,1,0,921111,L,23345,20
26,Grooming_921111_L23645_001942,1,1,1,1,0,921111,L,23645,30
27,Grooming_921111_L24095_002004,1,1,1,1,0,921111,L,24095,85
28,Grooming_921111_L24900_002045,1,0,1,0,1,921111,L,24900,40
29,Grooming_921111_L24960_002048,1,1,1,1,0,921111,L,24960,90
30,Grooming_921111_L25970_002138,1,1,1,1,0,921111,L,25970,45
31,Grooming_921111_L26815_002220,1,1,1,1,0,921111,L,26815,235
32,Grooming_921111_L27120_002236,1,1,1,1,0,921111,L,27120,525
33,Grooming_921111_L27740_002307,1,1,0,0,1,921111,L,27740,195
34,Grooming_921111_L28100_002325,1,1,1,1,0,921111,L,28100,145
35,Grooming_921111_L28260_002333,1,1,1,1,0,921111,L,28260,125
36,Grooming_921111_L29710_002445,1,1,1,1,0,921111,L,29710,15
37,Grooming_921111_L31325_002606,1,1,0,0,1,921111,L,31325,40
38,Grooming_921111_L32000_002640,1,1,1,1,0,921111,L,32000,15
39,Grooming_921111_L32205_002650,1,1,1,1,0,921111,L,32205,55
40,Grooming_921111_L33070_002733,1,1,1,1,0,921111,L,33070,25
41,Grooming_921111_L35390_002929,1,1,0,0,1,921111,L,35390,85
42,Grooming_921111_L35495_002934,1,1,1,1,0,921111,L,35495,120
43,Grooming_921111_L36035_003001,1,1,1,1,0,921111,L,36035,10
44,Grooming_921111_L36175_003008,1,1,1,1,0,921111,L,36175,70
45,Grooming_921111_L36255_003012,1,1,1,1,0,921111,L,36255,25
46,Grooming_921111_L36300_003015,1,1,1,1,0,921111,L,36300,85
47,Grooming_921111_L36420_003021,1,1,1,1,0,921111,L,36420,20
48,Grooming_921111_L36745_003037,1,1,1,1,0,921111,L,36745,15
49,Grooming_921111_L37140_003057,1,1,1,1,0,921111,L,37140,55
50,Grooming_921111_L37415_003110,1,1,0,0,1,921111,L,37415,40
51,Grooming_921111_L37675_003123,1,1,1,1,0,921111,L,37675,50
52,Grooming_921111_L37760_003128,1,1,1,1,0,921111,L,37760,55
53,Grooming_921111_L37830_003131,1,1,1,1,0,921111,L,37830,480
54,Grooming_921111_L38320_003156,1,1,1,1,0,921111,L,38320,160
55,Grooming_921111_L38505_003205,1,1,1,1,0,921111,L,38505,295
56,Grooming_921111_L38820_003221,1,1,1,1,0,921111,L,38820,395
57,Grooming_921111_L39670_003303,1,1,1,1,0,921111,L,39670,15
58,Grooming_921111_L39960_003318,1,1,1,1,0,921111,L,39960,45
59,Grooming_921111_L41290_003424,1,1,1,1,0,921111,L,41290,20
60,Grooming_921111_L42065_003503,1,1,0,0,1,921111,L,42065,45
61,Grooming_921111_L44480_003704,1,1,1,1,0,921111,L,44480,20
62,Grooming_921111_L44635_003711,1,1,0,0,1,921111,L,44635,20
63,Grooming_921111_L44765_003718,1,1,1,1,0,921111,L,44765,20
64,Grooming_921111_L45070_003733,1,1,1,1,0,921111,L,45070,30
65,Grooming_921111_L45350_003747,1,1,0,0,1,921111,L,45350,90
66,Grooming_921111_L45550_003757,1,1,1,1,0,921111,L,45550,540
67,Grooming_921111_L46870_003903,1,1,1,1,0,921111,L,46870,45
68,Grooming_921111_L47445_003932,1,1,0,0,1,921111,L,47445,70
69,Grooming_921111_L48890_004044,1,1,0,0,1,921111,L,48890,50
