,clip,target,pred_x,pred_y,pred,diff,rat,LR,start,duration
0,Grooming_930302_L04705_000355,1,1,1,1,0,930302,L,04705,115
1,Grooming_930302_L15615_001300,1,1,1,1,0,930302,L,15615,105
2,Grooming_930302_L15735_001306,1,1,1,1,0,930302,L,15735,45
3,Grooming_930302_L16010_001320,1,1,1,1,0,930302,L,16010,80
4,Grooming_930302_L16235_001331,1,1,1,1,0,930302,L,16235,160
5,Grooming_930302_L16460_001343,1,1,1,1,0,930302,L,16460,65
6,Grooming_930302_L16690_001354,1,1,0,0,1,930302,L,16690,320
7,Grooming_930302_L20385_001659,1,1,0,0,1,930302,L,20385,75
8,Grooming_930302_L24105_002005,1,1,0,0,1,930302,L,24105,50
9,Grooming_930302_L25240_002102,1,0,1,0,1,930302,L,25240,105
10,Grooming_930302_L25415_002110,1,1,1,1,0,930302,L,25415,75
11,Grooming_930302_L28310_002335,1,1,1,1,0,930302,L,28310,110
12,Grooming_930302_L28495_002344,1,1,1,1,0,930302,L,28495,280
13,Grooming_930302_L29360_002428,1,1,1,1,0,930302,L,29360,80
14,Grooming_930302_L29520_002436,1,1,1,1,0,930302,L,29520,240
15,Grooming_930302_L29925_002456,1,1,1,1,0,930302,L,29925,15
16,Grooming_930302_L29990_002459,1,1,1,1,0,930302,L,29990,30
17,Grooming_930302_L30045_002502,1,1,1,1,0,930302,L,30045,30
18,Grooming_930302_L31365_002608,1,1,1,1,0,930302,L,31365,15
19,Grooming_930302_L34455_002842,1,1,1,1,0,930302,L,34455,45
20,Grooming_930302_L34615_002850,1,1,1,1,0,930302,L,34615,435
21,Grooming_930302_L35250_002922,1,0,1,0,1,930302,L,35250,25
22,Grooming_930302_L36140_003007,1,1,1,1,0,930302,L,36140,15
23,Grooming_930302_L37615_003120,1,1,1,1,0,930302,L,37615,45
24,Grooming_930302_L37745_003127,1,1,1,1,0,930302,L,37745,105
25,Grooming_930302_L37875_003133,1,1,1,1,0,930302,L,37875,75
26,Grooming_930302_L38115_003145,1,1,1,1,0,930302,L,38115,25
27,Grooming_930302_L40885_003404,1,1,1,1,0,930302,L,40885,20
28,Grooming_930302_L40930_003406,1,1,1,1,0,930302,L,40930,15
29,Grooming_930302_L41215_003420,1,1,1,1,0,930302,L,41215,80
30,Grooming_930302_L41685_003444,1,1,1,1,0,930302,L,41685,50
31,Grooming_930302_L41745_003447,1,1,1,1,0,930302,L,41745,85
32,Grooming_930302_L41840_003452,1,1,1,1,0,930302,L,41840,20
33,Grooming_930302_L41870_003453,1,1,1,1,0,930302,L,41870,20
34,Grooming_930302_L41900_003455,1,1,1,1,0,930302,L,41900,145
35,Grooming_930302_L42055_003502,1,1,1,1,0,930302,L,42055,25
36,Grooming_930302_L42090_003504,1,1,1,1,0,930302,L,42090,235
37,Grooming_930302_L42335_003516,1,1,1,1,0,930302,L,42335,45
38,Grooming_930302_L44150_003647,1,1,1,1,0,930302,L,44150,15
39,Grooming_930302_L44545_003707,1,1,1,1,0,930302,L,44545,135
40,Grooming_930302_L44695_003714,1,1,1,1,0,930302,L,44695,35
41,Grooming_930302_L44745_003717,1,1,1,1,0,930302,L,44745,45
42,Grooming_930302_L44850_003722,1,1,1,1,0,930302,L,44850,110
43,Grooming_930302_L47445_003932,1,1,1,1,0,930302,L,47445,15
44,Grooming_930302_L47495_003934,1,1,1,1,0,930302,L,47495,105
45,Grooming_930302_L47610_003940,1,1,1,1,0,930302,L,47610,35
46,Grooming_930302_L50005_004140,1,1,1,1,0,930302,L,50005,65
47,Grooming_930302_L50080_004144,1,1,1,1,0,930302,L,50080,15
48,Grooming_930302_L50825_004221,1,1,1,1,0,930302,L,50825,10
49,Grooming_930302_L50845_004222,1,1,1,1,0,930302,L,50845,75
50,Grooming_930302_L50930_004226,1,1,1,1,0,930302,L,50930,105
51,Grooming_930302_L51050_004232,1,1,1,1,0,930302,L,51050,10
52,Grooming_930302_L51085_004234,1,1,1,1,0,930302,L,51085,45
53,Grooming_930302_L51140_004237,1,1,1,1,0,930302,L,51140,65
54,Grooming_930302_L52565_004348,1,1,1,1,0,930302,L,52565,20
55,Grooming_930302_L53085_004414,1,1,1,1,0,930302,L,53085,35
56,Grooming_930302_L54365_004518,1,1,1,1,0,930302,L,54365,35
57,Grooming_930302_L54590_004529,1,1,1,1,0,930302,L,54590,55
58,Grooming_930302_L54660_004533,1,1,1,1,0,930302,L,54660,140
59,Grooming_930302_L54810_004540,1,1,1,1,0,930302,L,54810,135
60,Grooming_930302_L55745_004627,1,1,1,1,0,930302,L,55745,15
61,Grooming_930302_L59635_004941,1,1,1,1,0,930302,L,59635,100
62,Grooming_930302_L59750_004947,1,1,1,1,0,930302,L,59750,65
63,Grooming_930302_L59825_004951,1,1,1,1,0,930302,L,59825,65
64,Grooming_930302_L63150_005237,1,1,1,1,0,930302,L,63150,15
65,Grooming_930302_L63205_005240,1,1,1,1,0,930302,L,63205,40
66,Grooming_930302_L66260_005513,1,0,1,0,1,930302,L,66260,60
67,Grooming_930302_L66330_005516,1,0,1,0,1,930302,L,66330,10
68,Grooming_930302_L69775_005808,1,1,1,1,0,930302,L,69775,40
69,Grooming_930302_L70150_005827,1,1,0,0,1,930302,L,70150,170
70,Grooming_930302_L74670_010213,1,1,1,1,0,930302,L,74670,15
71,Grooming_930302_L75905_010315,1,1,1,1,0,930302,L,75905,65
72,Grooming_930302_L75980_010319,1,1,1,1,0,930302,L,75980,35
73,Grooming_930302_L76065_010323,1,1,1,1,0,930302,L,76065,20
