,clip,target,pred_x,pred_y,pred,diff,rat,LR,start,duration
0,Grooming_921216_L00540_000027,1,1,1,1,0,921216,L,00540,210
1,Grooming_921216_L00770_000038,1,1,1,1,0,921216,L,00770,90
2,Grooming_921216_L00875_000043,1,1,1,1,0,921216,L,00875,120
3,Grooming_921216_L01300_000105,1,1,1,1,0,921216,L,01300,180
4,Grooming_921216_L02080_000144,1,1,1,1,0,921216,L,02080,95
5,Grooming_921216_L02425_000201,1,1,1,1,0,921216,L,02425,35
6,Grooming_921216_L02510_000205,1,1,1,1,0,921216,L,02510,40
7,Grooming_921216_L02615_000210,1,1,1,1,0,921216,L,02615,25
8,Grooming_921216_L03005_000230,1,1,0,0,1,921216,L,03005,45
9,Grooming_921216_L03690_000304,1,1,1,1,0,921216,L,03690,15
10,Grooming_921216_L04905_000405,1,1,1,1,0,921216,L,04905,15
11,Grooming_921216_L04930_000406,1,1,1,1,0,921216,L,04930,70
12,Grooming_921216_L10030_000821,1,1,1,1,0,921216,L,10030,15
13,Grooming_921216_L10080_000824,1,1,1,1,0,921216,L,10080,115
14,Grooming_921216_L10205_000830,1,1,1,1,0,921216,L,10205,60
15,Grooming_921216_L17675_001443,1,1,1,1,0,921216,L,17675,25
16,Grooming_921216_L20975_001728,1,1,1,1,0,921216,L,20975,145
17,Grooming_921216_L22175_001828,1,1,1,1,0,921216,L,22175,150
18,Grooming_921216_L22355_001837,1,1,1,1,0,921216,L,22355,40
19,Grooming_921216_L22540_001847,1,1,1,1,0,921216,L,22540,445
20,Grooming_921216_L23140_001917,1,1,1,1,0,921216,L,23140,75
21,Grooming_921216_L27840_002312,1,1,1,1,0,921216,L,27840,40
22,Grooming_921216_L27895_002314,1,1,1,1,0,921216,L,27895,25
23,Grooming_921216_L28460_002343,1,1,1,1,0,921216,L,28460,170
24,Grooming_921216_L36675_003033,1,1,1,1,0,921216,L,36675,85
25,Grooming_921216_L36770_003038,1,1,1,1,0,921216,L,36770,275
26,Grooming_921216_L38870_003223,1,1,1,1,0,921216,L,38870,15
27,Grooming_921216_L38930_003226,1,1,1,1,0,921216,L,38930,35
28,Grooming_921216_L38985_003229,1,1,1,1,0,921216,L,38985,75
29,Grooming_921216_L39335_003246,1,1,1,1,0,921216,L,39335,30
30,Grooming_921216_L39385_003249,1,1,1,1,0,921216,L,39385,70
31,Grooming_921216_L39495_003254,1,1,1,1,0,921216,L,39495,205
32,Grooming_921216_L45370_003748,1,1,1,1,0,921216,L,45370,225
33,Grooming_921216_L45605_003800,1,1,1,1,0,921216,L,45605,210
34,Grooming_921216_L45825_003811,1,1,0,0,1,921216,L,45825,195
