,clip,target,pred_x,pred_y,pred,diff,rat,LR,start,duration
0,Grooming_930203_L01090_000054,1,1,0,0,1,930203,L,01090,65
1,Grooming_930203_L01165_000058,1,1,1,1,0,930203,L,01165,90
2,Grooming_930203_L01360_000108,1,1,1,1,0,930203,L,01360,30
3,Grooming_930203_L02620_000211,1,1,1,1,0,930203,L,02620,30
4,Grooming_930203_L02660_000213,1,1,1,1,0,930203,L,02660,30
5,Grooming_930203_L03570_000258,1,1,0,0,1,930203,L,03570,35
6,Grooming_930203_L04135_000326,1,1,0,0,1,930203,L,04135,30
7,Grooming_930203_L05535_000436,1,1,1,1,0,930203,L,05535,115
8,Grooming_930203_L05675_000443,1,1,1,1,0,930203,L,05675,40
9,Grooming_930203_L15050_001232,1,1,1,1,0,930203,L,15050,25
10,Grooming_930203_L21040_001732,1,1,1,1,0,930203,L,21040,25
11,Grooming_930203_L21475_001753,1,1,0,0,1,930203,L,21475,15
12,Grooming_930203_L22250_001832,1,1,0,0,1,930203,L,22250,35
13,Grooming_930203_L23810_001950,1,1,1,1,0,930203,L,23810,35
14,Grooming_930203_L23945_001957,1,1,0,0,1,930203,L,23945,180
15,Grooming_930203_L24235_002011,1,1,1,1,0,930203,L,24235,65
16,Grooming_930203_L24960_002048,1,1,0,0,1,930203,L,24960,25
17,Grooming_930203_L26135_002146,1,1,1,1,0,930203,L,26135,20
18,Grooming_930203_L26735_002216,1,1,1,1,0,930203,L,26735,20
19,Grooming_930203_L30115_002505,1,1,0,0,1,930203,L,30115,40
20,Grooming_930203_L37940_003137,1,1,1,1,0,930203,L,37940,245
21,Grooming_930203_L38195_003149,1,1,1,1,0,930203,L,38195,45
22,Grooming_930203_L38370_003158,1,1,1,1,0,930203,L,38370,20
23,Grooming_930203_L41680_003444,1,1,1,1,0,930203,L,41680,75
24,Grooming_930203_L41765_003448,1,1,1,1,0,930203,L,41765,305
25,Grooming_930203_L42085_003504,1,1,1,1,0,930203,L,42085,10
26,Grooming_930203_L42115_003505,1,1,1,1,0,930203,L,42115,95
27,Grooming_930203_L42260_003513,1,1,1,1,0,930203,L,42260,165
28,Grooming_930203_L42445_003522,1,1,1,1,0,930203,L,42445,85
29,Grooming_930203_L42575_003528,1,1,1,1,0,930203,L,42575,10
30,Grooming_930203_L42895_003544,1,1,1,1,0,930203,L,42895,15
31,Grooming_930203_L44605_003710,1,1,1,1,0,930203,L,44605,20
32,Grooming_930203_L44680_003714,1,1,1,1,0,930203,L,44680,105
33,Grooming_930203_L45030_003731,1,1,1,1,0,930203,L,45030,35
34,Grooming_930203_L45285_003744,1,1,1,1,0,930203,L,45285,70
35,Grooming_930203_L45630_003801,1,1,1,1,0,930203,L,45630,20
36,Grooming_930203_L45820_003811,1,1,1,1,0,930203,L,45820,20
37,Grooming_930203_L47330_003926,1,1,1,1,0,930203,L,47330,25
38,Grooming_930203_L49545_004117,1,1,1,1,0,930203,L,49545,15
39,Grooming_930203_L50305_004155,1,1,1,1,0,930203,L,50305,10
40,Grooming_930203_L51040_004232,1,1,1,1,0,930203,L,51040,55
41,Grooming_930203_L51455_004252,1,1,1,1,0,930203,L,51455,30
42,Grooming_930203_L51525_004256,1,1,1,1,0,930203,L,51525,30
43,Grooming_930203_L52850_004402,1,1,1,1,0,930203,L,52850,30
44,Grooming_930203_L52890_004404,1,1,1,1,0,930203,L,52890,140
45,Grooming_930203_L53050_004412,1,1,0,0,1,930203,L,53050,10
46,Grooming_930203_L53105_004415,1,1,1,1,0,930203,L,53105,115
47,Grooming_930203_L53230_004421,1,1,1,1,0,930203,L,53230,70
48,Grooming_930203_L53525_004436,1,1,1,1,0,930203,L,53525,85
49,Grooming_930203_L53625_004441,1,1,1,1,0,930203,L,53625,145
50,Grooming_930203_L53780_004449,1,1,1,1,0,930203,L,53780,20
51,Grooming_930203_L56065_004643,1,1,1,1,0,930203,L,56065,30
52,Grooming_930203_L62995_005229,1,1,1,1,0,930203,L,62995,20
53,Grooming_930203_L64795_005359,1,1,1,1,0,930203,L,64795,80
54,Grooming_930203_L65635_005441,1,1,1,1,0,930203,L,65635,15
55,Grooming_930203_L66145_005507,1,1,1,1,0,930203,L,66145,240
56,Grooming_930203_L66410_005520,1,1,1,1,0,930203,L,66410,30
57,Grooming_930203_L66450_005522,1,1,1,1,0,930203,L,66450,50
58,Grooming_930203_L66515_005525,1,1,1,1,0,930203,L,66515,35
59,Grooming_930203_L66560_005528,1,1,1,1,0,930203,L,66560,25
60,Grooming_930203_L66600_005530,1,1,1,1,0,930203,L,66600,10
61,Grooming_930203_L68340_005657,1,1,1,1,0,930203,L,68340,40
62,Grooming_930203_L68705_005715,1,1,1,1,0,930203,L,68705,35
63,Grooming_930203_L70900_005905,1,1,1,1,0,930203,L,70900,60
64,Grooming_930203_L70970_005908,1,1,1,1,0,930203,L,70970,185
65,Grooming_930203_L71165_005918,1,1,1,1,0,930203,L,71165,15
66,Grooming_930203_L72295_010014,1,1,1,1,0,930203,L,72295,200
67,Grooming_930203_L72815_010040,1,1,1,1,0,930203,L,72815,15
68,Grooming_930203_L72845_010042,1,1,1,1,0,930203,L,72845,15
69,Grooming_930203_L72875_010043,1,1,1,1,0,930203,L,72875,25
70,Grooming_930203_L72965_010048,1,1,1,1,0,930203,L,72965,15
71,Grooming_930203_L72995_010049,1,1,1,1,0,930203,L,72995,15
72,Grooming_930203_L73020_010051,1,1,1,1,0,930203,L,73020,20
73,Grooming_930203_L73050_010052,1,1,1,1,0,930203,L,73050,10
74,Grooming_930203_L73085_010054,1,1,1,1,0,930203,L,73085,15
75,Grooming_930203_L73615_010120,1,1,1,1,0,930203,L,73615,15
76,Grooming_930203_L73680_010124,1,1,0,0,1,930203,L,73680,100
77,Grooming_930203_L75055_010232,1,1,1,1,0,930203,L,75055,10
78,Grooming_930203_L75120_010236,1,1,1,1,0,930203,L,75120,20
79,Grooming_930203_L75315_010245,1,1,1,1,0,930203,L,75315,75
80,Grooming_930203_L75405_010250,1,1,1,1,0,930203,L,75405,85
81,Grooming_930203_L75580_010259,1,1,1,1,0,930203,L,75580,60
82,Grooming_930203_L75670_010303,1,1,1,1,0,930203,L,75670,15
83,Grooming_930203_L76210_010330,1,1,1,1,0,930203,L,76210,20
84,Grooming_930203_L76395_010339,1,1,1,1,0,930203,L,76395,45
85,Grooming_930203_L77670_010443,1,1,1,1,0,930203,L,77670,15
86,Grooming_930203_L78025_010501,1,1,1,1,0,930203,L,78025,15
87,Grooming_930203_L78245_010512,1,1,1,1,0,930203,L,78245,70
88,Grooming_930203_L78365_010518,1,1,1,1,0,930203,L,78365,15
89,Grooming_930203_L78390_010519,1,1,1,1,0,930203,L,78390,15
90,Grooming_930203_L78490_010524,1,1,1,1,0,930203,L,78490,55
91,Grooming_930203_R18560_001528,1,1,1,1,0,930203,R,18560,60
92,Grooming_930203_R31770_002628,1,1,1,1,0,930203,R,31770,30
93,Grooming_930203_R36310_003015,1,1,1,1,0,930203,R,36310,80
94,Grooming_930203_R36905_003045,1,1,1,1,0,930203,R,36905,90
95,Grooming_930203_R38465_003203,1,1,1,1,0,930203,R,38465,15
96,Grooming_930203_R39510_003255,1,1,1,1,0,930203,R,39510,35
97,Grooming_930203_R39555_003257,1,1,1,1,0,930203,R,39555,45
98,Grooming_930203_R39610_003300,1,1,1,1,0,930203,R,39610,60
99,Grooming_930203_R39720_003306,1,1,1,1,0,930203,R,39720,85
100,Grooming_930203_R39840_003312,1,1,1,1,0,930203,R,39840,115
101,Grooming_930203_R39970_003318,1,1,1,1,0,930203,R,39970,45
102,Grooming_930203_R40025_003321,1,1,1,1,0,930203,R,40025,15
103,Grooming_930203_R44310_003655,1,1,1,1,0,930203,R,44310,40
104,Grooming_930203_R44385_003659,1,1,1,1,0,930203,R,44385,30
105,Grooming_930203_R44440_003702,1,1,1,1,0,930203,R,44440,35
106,Grooming_930203_R44485_003704,1,1,1,1,0,930203,R,44485,95
107,Grooming_930203_R44600_003710,1,1,1,1,0,930203,R,44600,65
108,Grooming_930203_R44690_003714,1,1,0,0,1,930203,R,44690,25
109,Grooming_930203_R44740_003717,1,1,1,1,0,930203,R,44740,40
110,Grooming_930203_R44795_003719,1,1,1,1,0,930203,R,44795,200
111,Grooming_930203_R45005_003730,1,1,1,1,0,930203,R,45005,10
112,Grooming_930203_R45030_003731,1,1,1,1,0,930203,R,45030,35
113,Grooming_930203_R45080_003734,1,1,1,1,0,930203,R,45080,25
114,Grooming_930203_R45855_003812,1,1,1,1,0,930203,R,45855,60
115,Grooming_930203_R46070_003823,1,1,1,1,0,930203,R,46070,40
116,Grooming_930203_R46245_003832,1,1,1,1,0,930203,R,46245,25
117,Grooming_930203_R46290_003834,1,1,1,1,0,930203,R,46290,15
118,Grooming_930203_R46370_003838,1,1,1,1,0,930203,R,46370,35
119,Grooming_930203_R46435_003841,1,1,0,0,1,930203,R,46435,55
120,Grooming_930203_R46505_003845,1,1,1,1,0,930203,R,46505,10
121,Grooming_930203_R46535_003846,1,1,1,1,0,930203,R,46535,10
122,Grooming_930203_R46580_003849,1,1,1,1,0,930203,R,46580,15
123,Grooming_930203_R48320_004016,1,0,1,0,1,930203,R,48320,15
124,Grooming_930203_R48645_004032,1,1,1,1,0,930203,R,48645,15
125,Grooming_930203_R48700_004035,1,1,1,1,0,930203,R,48700,20
126,Grooming_930203_R49510_004115,1,1,1,1,0,930203,R,49510,35
127,Grooming_930203_R49565_004118,1,1,1,1,0,930203,R,49565,10
128,Grooming_930203_R49620_004121,1,1,1,1,0,930203,R,49620,20
129,Grooming_930203_R49675_004123,1,1,1,1,0,930203,R,49675,40
130,Grooming_930203_R50065_004143,1,1,1,1,0,930203,R,50065,30
131,Grooming_930203_R50105_004145,1,1,1,1,0,930203,R,50105,10
132,Grooming_930203_R50145_004147,1,1,1,1,0,930203,R,50145,70
133,Grooming_930203_R50895_004224,1,1,1,1,0,930203,R,50895,70
134,Grooming_930203_R51070_004233,1,1,1,1,0,930203,R,51070,55
135,Grooming_930203_R52355_004337,1,1,1,1,0,930203,R,52355,15
136,Grooming_930203_R55215_004600,1,1,0,0,1,930203,R,55215,45
137,Grooming_930203_R55285_004604,1,1,1,1,0,930203,R,55285,70
138,Grooming_930203_R55380_004609,1,1,1,1,0,930203,R,55380,140
139,Grooming_930203_R61045_005052,1,1,1,1,0,930203,R,61045,100
140,Grooming_930203_R61290_005104,1,1,1,1,0,930203,R,61290,15
141,Grooming_930203_R61320_005106,1,1,1,1,0,930203,R,61320,70
142,Grooming_930203_R61605_005120,1,1,1,1,0,930203,R,61605,15
143,Grooming_930203_R61660_005123,1,1,1,1,0,930203,R,61660,25
144,Grooming_930203_R61705_005125,1,1,1,1,0,930203,R,61705,30
145,Grooming_930203_R61745_005127,1,1,1,1,0,930203,R,61745,65
146,Grooming_930203_R61930_005136,1,1,1,1,0,930203,R,61930,125
147,Grooming_930203_R62065_005143,1,1,1,1,0,930203,R,62065,130
